CODE,SALE,LOCATION,ADDRESS,LATITUDE,LONGITUDE,BRAND,DISTRICT,DATE
1019,29324.63,EX MOUNT LAVINIA,"MOUNT LAVINIA, Sri Lanka",6.8301185,79.8800832,Cargills,Colombo,04-03-2025
1034,22026.72,FC MAHARAGAMA,"MAHARAGAMA, Sri Lanka",6.8510951,79.9212011,Cargills,Colombo,04-03-2025
1038,2154.85,FC PITAKOTTE,"PITAKOTTE, Sri Lanka",6.8808992,79.9052768,Cargills,Colombo,04-03-2025
1039,23177.37,FC NUGEGODA,"NUGEGODA, Sri Lanka",6.8649081,79.8996789,Cargills,Colombo,04-03-2025
1063,12071.09,FC MALABE,"MALABE, Sri Lanka",6.9060787,79.9696277,Cargills,Colombo,04-03-2025
1069,12077.04,FC RAJAGIRIYA,"RAJAGIRIYA, Sri Lanka",6.9094108,79.8942538,Cargills,Colombo,04-03-2025
1086,21550.95,FC GAMPAHA,"GAMPAHA, Sri Lanka",7.0840484,80.0098314,Cargills,Gampaha,04-03-2025
1101,9952.19,FC PILIYANDALA,"PILIYANDALA, Sri Lanka",6.8017575,79.9227313,Cargills,Colombo,04-03-2025
1103,26842.11,FC NAWALA,"NAWALA, Sri Lanka",6.8964191,79.8884819,Cargills,Colombo,04-03-2025
1118,31035.45,FC KOHUWALA,"KOHUWALA, Sri Lanka",6.8624842,79.8854983,Cargills,Colombo,04-03-2025
1119,14178.24,FC WELLAWATTE,"WELLAWATTE, Sri Lanka",6.8740921,79.8604934,Cargills,Colombo,04-03-2025
1122,19608.75,FC KELANIYA,"KELANIYA, Sri Lanka",6.9517846,79.9132991,Cargills,Gampaha,04-03-2025
1123,9374.76,FC KOTTAWA,"KOTTAWA, Sri Lanka",6.8411652,79.9654324,Cargills,Colombo,04-03-2025
1128,14716.04,FC KOLONNAWA,"KOLONNAWA, Sri Lanka",6.9283596,79.8949946,Cargills,Colombo,04-03-2025
1132,6942.63,FC HOMAGAMA,"HOMAGAMA, Sri Lanka",6.8432762,80.0031833,Cargills,Colombo,04-03-2025
1134,39485.29,FC KARAGAMPITIYA,"KARAGAMPITIYA, Sri Lanka",6.847802,79.8723837,Cargills,Colombo,04-03-2025
1141,57784.98,FC KADUWELA,"KADUWELA, Sri Lanka",6.929061,79.9827754,Cargills,Colombo,04-03-2025
1154,8113.24,FC DELKANDA,"DELKANDA, Sri Lanka",6.8643687,79.8970403,Cargills,Colombo,04-03-2025
1165,26129.57,FC KOSWATTE,"KOSWATTE, Sri Lanka",6.908863,79.9313567,Cargills,Colombo,04-03-2025
1168,4920.87,FC WIJERAMA,"WIJERAMA, Sri Lanka",6.8551817,79.9087754,Cargills,Colombo,04-03-2025
1173,22085.91,FC KOHUWALA 2,"KOHUWALA , Sri Lanka",6.8624842,79.8854983,Cargills,Colombo,04-03-2025
1176,6182.94,FC MIRIHANA,"MIRIHANA, Sri Lanka",6.8689647,79.9038774,Cargills,Colombo,04-03-2025
1177,43654.02,FC NUGEGODA 2,"NUGEGODA , Sri Lanka",6.8649081,79.8996789,Cargills,Colombo,04-03-2025
1178,19435.43,FC MAHARAGAMA 2,"MAHARAGAMA , Sri Lanka",6.8510951,79.9212011,Cargills,Colombo,04-03-2025
1197,33.0,FC ATHURUGIRIYA,"ATHURUGIRIYA, Sri Lanka",6.8723185,80.0003875,Cargills,Colombo,04-03-2025
1284,40084.91,FC RAJAGIRIYA 2,"RAJAGIRIYA , Sri Lanka",6.9094108,79.8942538,Cargills,Colombo,04-03-2025
1285,46604.38,FC PANNIPITIYA,"PANNIPITIYA, Sri Lanka",6.8463993,79.9484346,Cargills,Colombo,04-03-2025
1287,22064.65,FC BOKUNDARA,"BOKUNDARA, Sri Lanka",6.8164327,79.9206694,Cargills,Colombo,04-03-2025
1290,12294.55,FC BATTARAMULLA,"BATTARAMULLA, Sri Lanka",6.8979941,79.9222869,Cargills,Colombo,04-03-2025
1295,22234.44,FC MALABE 2,"MALABE , Sri Lanka",6.9060787,79.9696277,Cargills,Colombo,04-03-2025
1328,20265.81,EX HABARAKADA,"HABARAKADA, Sri Lanka",6.8659667,80.0129679,Cargills,Colombo,04-03-2025
1329,16697.77,EX NEDIMALA,"NEDIMALA, Sri Lanka",6.8552665,79.881483,Cargills,Colombo,04-03-2025
1332,34336.01,FC MATTEGODA,"MATTEGODA, Sri Lanka",6.8135488,79.9724245,Cargills,Colombo,04-03-2025
1340,17865.54,EX POLGAHAWELA,"POLGAHAWELA, Sri Lanka",7.3274866,80.2934522,Cargills,Kurunegala,04-03-2025
1344,19737.93,EX DEPANAMA,"DEPANAMA, Sri Lanka",6.8604633,79.9446302,Cargills,Colombo,04-03-2025
1346,46472.29,EX MAWARAMANDIYA,"MAWARAMANDIYA, Sri Lanka",6.9896112,79.9738229,Cargills,Gampaha,04-03-2025
1347,31680.75,EX MULLERIYAWA,"MULLERIYAWA, Sri Lanka",6.9248928,79.9380375,Cargills,Colombo,04-03-2025
1348,5521.97,EX PUGODA,"PUGODA, Sri Lanka",6.9750337,80.1180967,Cargills,Gampaha,04-03-2025
1354,25247.57,EX CTG PILIYANDALA,"CTG PILIYANDALA, Sri Lanka",6.8017575,79.9227313,Cargills,Colombo,04-03-2025
1362,50017.53,EX PITIPANA,"PITIPANA, Sri Lanka",6.9066865,80.0522928,Cargills,Colombo,04-03-2025
1363,20587.38,EX SIDDAMULLA,"SIDDAMULLA, Sri Lanka",6.8172516,79.9598383,Cargills,Colombo,04-03-2025
1378,30715.02,EX RUKMALGAMA,"RUKMALGAMA, Sri Lanka",6.8559758,79.9780178,Cargills,Colombo,04-03-2025
1380,6050.85,EX POKUNUWITA,"POKUNUWITA, Sri Lanka",6.7288686,80.0297389,Cargills,Kalutara,04-03-2025
1382,12264.55,EX ARANGALA,"ARANGALA, Sri Lanka",6.8699679,79.9920576,Cargills,Colombo,04-03-2025
1392,5625.06,EX GONAPOLA,"GONAPOLA, Sri Lanka",6.7563403,80.0171609,Cargills,Kalutara,04-03-2025
1396,13797.08,EX HAVELOCK CITY,"HAVELOCK CITY, Sri Lanka",6.8827383,79.8683695,Cargills,Colombo,04-03-2025
1406,9394.31,FC KOTIKAWATTA,"KOTIKAWATTA, Sri Lanka",6.9345136,79.9059766,Cargills,Colombo,04-03-2025
1416,6647.84,FC ETHULKOTTE,"ETHULKOTTE, Sri Lanka",6.8914832,79.9052768,Cargills,Colombo,04-03-2025
1418,5512.49,FC KALAPALUWAWA,"KALAPALUWAWA, Sri Lanka",6.9141883,79.9150724,Cargills,Colombo,04-03-2025
1447,41434.16,FC KOTTAWA 2,"KOTTAWA , Sri Lanka",6.8411652,79.9654324,Cargills,Colombo,04-03-2025
1452,9394.31,FC THALAWATHUGODA,"THALAWATHUGODA, Sri Lanka",6.8758648,79.9391936,Cargills,Colombo,04-03-2025
1465,23348.0,FC DALUGAMA,"DALUGAMA, Sri Lanka",6.9752231,79.9206694,Cargills,Gampaha,04-03-2025
1473,7461.05,FC STANLY TMW,"STANLY TMW, Sri Lanka",6.8755381,79.8947554,Cargills,Colombo,04-03-2025
1479,33255.18,FC THALAHENA,"THALAHENA, Sri Lanka",6.9123126,79.9514464,Cargills,Colombo,04-03-2025
1487,29427.61,FC PELAWATTA 2,"PELAWATTA , Sri Lanka",6.40053,80.2120618,Cargills,Kalutara,04-03-2025
1489,7645.69,FC UDAHAMULLA,"UDAHAMULLA, Sri Lanka",6.8665559,79.9150724,Cargills,Colombo,04-03-2025
1491,38517.32,FC WERAHERA,"WERAHERA, Sri Lanka",6.8280052,79.9052768,Cargills,Colombo,04-03-2025
1493,13660.15,FC HOMAGAMA 2,"HOMAGAMA , Sri Lanka",6.8432762,80.0031833,Cargills,Colombo,04-03-2025
1496,21263.66,FC KAWDANA,"KAWDANA, Sri Lanka",6.8418059,79.8665045,Cargills,Colombo,04-03-2025
1540,27003.69,FC DEPANAMA,"DEPANAMA, Sri Lanka",6.8604633,79.9446302,Cargills,Colombo,04-03-2025
1541,12606.93,FC HIMBUTANA,"HIMBUTANA, Sri Lanka",6.9264231,79.9339124,Cargills,Colombo,04-03-2025
1542,32806.46,FC KADUWELA 02,"KADUWELA , Sri Lanka",6.929061,79.9827754,Cargills,Colombo,04-03-2025
1547,11676.62,FC GOTHATUWA IDH,"GOTHATUWA IDH, Sri Lanka",6.9288713,79.9027493,Cargills,Colombo,04-03-2025
1551,12963.48,FC PILIYANDALA 2,"PILIYANDALA , Sri Lanka",6.8017575,79.9227313,Cargills,Colombo,04-03-2025
1557,10599.75,FC THALAPATHPITIYA,"THALAPATHPITIYA, Sri Lanka",6.8693785,79.9234678,Cargills,Colombo,04-03-2025
1558,50109.13,FC KOSWATTE 2,"KOSWATTE , Sri Lanka",6.908863,79.9313567,Cargills,Colombo,04-03-2025
1561,27898.76,FC WELLAMPITIYA,"WELLAMPITIYA, Sri Lanka",6.9424282,79.9045771,Cargills,Colombo,04-03-2025
1563,20963.74,FC WIJERAMA 2,"WIJERAMA , Sri Lanka",6.8551817,79.9087754,Cargills,Colombo,04-03-2025
1564,27974.49,FC KOLAMUNNA,"KOLAMUNNA, Sri Lanka",6.7953487,79.9234678,Cargills,Colombo,04-03-2025
1568,10071.87,FC MILLENNIUM CITY,"MILLENNIUM CITY, Sri Lanka",7.121557,79.9101748,Cargills,Gampaha,04-03-2025
1569,6578.73,FC ARAWWALA,"ARAWWALA, Sri Lanka",6.8382446,79.9414907,Cargills,Colombo,04-03-2025
1575,16040.74,FC HOKANDARA,"HOKANDARA, Sri Lanka",6.8743192,79.9696277,Cargills,Colombo,04-03-2025
1578,56709.4,FC KELANIYA 2,"KELANIYA , Sri Lanka",6.9517846,79.9132991,Cargills,Gampaha,04-03-2025
1580,30656.12,FC KATTIYA JUNCTION,"KATTIYA JUNCTION, Sri Lanka",6.8694191,79.8979063,Cargills,Colombo,04-03-2025
1582,12894.52,FC GODAGAMA,"GODAGAMA, Sri Lanka",6.8516746,80.0327001,Cargills,Colombo,04-03-2025
1583,20712.82,FC SARANANKARA ROAD,"SARANANKARA ROAD, Sri Lanka",6.860707,79.8688827,Cargills,Colombo,04-03-2025
1588,11137.55,FC HOMAGAMA 3,"HOMAGAMA , Sri Lanka",6.8432762,80.0031833,Cargills,Colombo,04-03-2025
1590,14295.66,FC ATHURUGIRIYA 2,"ATHURUGIRIYA , Sri Lanka",6.8723185,80.0003875,Cargills,Colombo,04-03-2025
1596,24148.6,FC MALABE 03,"MALABE , Sri Lanka",6.9060787,79.9696277,Cargills,Colombo,04-03-2025
1618,8183.48,FC POLGASOWITA,"POLGASOWITA, Sri Lanka",6.7899358,79.9808143,Cargills,Colombo,04-03-2025
1652,19430.35,FC KIRIBATHGODA 03,"KIRIBATHGODA , Sri Lanka",6.9778284,79.9271523,Cargills,Gampaha,04-03-2025
1654,8174.7,FC MAHARA,"MAHARA, Sri Lanka",6.9908661,79.9395566,Cargills,Gampaha,04-03-2025
1657,9951.65,FC OBESEKARAPURA,"OBESEKARAPURA, Sri Lanka",6.9189465,79.8898816,Cargills,Colombo,04-03-2025
1665,7217.64,FC KIRIBATHGODA 04,"KIRIBATHGODA , Sri Lanka",6.9778284,79.9271523,Cargills,Gampaha,04-03-2025
1679,21596.42,FC HOKANDARA 02,"HOKANDARA , Sri Lanka",6.8743192,79.9696277,Cargills,Colombo,04-03-2025
1681,19575.77,FC PITAKOTTE 02,"PITAKOTTE , Sri Lanka",6.8808992,79.9052768,Cargills,Colombo,04-03-2025
1682,16122.72,FC DELKANDA 02,"DELKANDA , Sri Lanka",6.8646859,79.8949669,Cargills,Colombo,04-03-2025
1683,10369.66,FC ATTIDIYA 02,"ATTIDIYA , Sri Lanka",6.8261828,79.881483,Cargills,Colombo,04-03-2025
